#separator:tab
#html:true
"<div class=afirmação>No coração a via&nbsp;<span class=""cloze"" data-cloze=""mais&#x20;r&#xE1;pida"" data-ordinal=""1"">[...]</span> comanda <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> No coração a via&nbsp;<span class=""cloze"" data-ordinal=""1"">mais rápida</span> comanda </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>Manobra Vagal (TSV) feita com&nbsp;<span class=""cloze"" data-cloze=""Manobra&#x20;de&#x20;valsava&#x20;&#x28;expira&#xE7;&#xE3;o&#x20;for&#xE7;ada&#x20;15s&#x29;&#x20;&lt;i&gt;modificada&#x20;&#x28;Faz&#x20;valsalva&#x20;e&#x20;quando&#x20;termina&#x2C;&#x20;deita&#x20;e&#x20;levanta&#x20;as&#x20;pernas&#x29;&lt;&#x2F;i&gt;"" data-ordinal=""1"">[...]</span> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Manobra Vagal (TSV) feita com&nbsp;<span class=""cloze"" data-ordinal=""1"">Manobra de valsava (expiração forçada 15s) <i>modificada (Faz valsalva e quando termina, deita e levanta as pernas)</i></span> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação><div>ECG - Frequência cardíaca por intervalos entre QRS</div>
<div><br /></div>
<div>1 quadradão = <span class=""cloze"" data-cloze=""300"" data-ordinal=""1"">[...]</span> bpm</div>
<div>2 quadradões = <span class=""cloze"" data-cloze=""150"" data-ordinal=""1"">[...]</span> bpm</div>
<div>3 quadradões = <span class=""cloze"" data-cloze=""100"" data-ordinal=""1"">[...]</span> bpm</div>
<div>4 quadradões = <span class=""cloze"" data-cloze=""75"" data-ordinal=""1"">[...]</span> bpm</div>
<div>5 quadradões = <span class=""cloze"" data-cloze=""60"" data-ordinal=""1"">[...]</span> bpm</div> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> <div>ECG - Frequência cardíaca por intervalos entre QRS</div>
<div><br /></div>
<div>1 quadradão = <span class=""cloze"" data-ordinal=""1"">300</span> bpm</div>
<div>2 quadradões = <span class=""cloze"" data-ordinal=""1"">150</span> bpm</div>
<div>3 quadradões = <span class=""cloze"" data-ordinal=""1"">100</span> bpm</div>
<div>4 quadradões = <span class=""cloze"" data-ordinal=""1"">75</span> bpm</div>
<div>5 quadradões = <span class=""cloze"" data-ordinal=""1"">60</span> bpm</div> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>A repolarização dos <b>átrios</b> no ECG&nbsp;<span class=""cloze"" data-cloze=""Est&#xE1;&#x20;escondida&#x20;no&#x20;QRS"" data-ordinal=""1"">[...]</span> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> A repolarização dos <b>átrios</b> no ECG&nbsp;<span class=""cloze"" data-ordinal=""1"">Está escondida no QRS</span> </div>



<div class=""esquema"">
<a class=hint href=""#""
onclick=""this.style.display='none';
document.getElementById('hinta434fd750ccc1392').style.display='block';
return false;"">
✚ Saiba mais</a>
<div id=""hinta434fd750ccc1392"" class=hint style=""display: none""><div>Então não veremos nenhuma onda específica.</div> </div>
</div></div>

</div><br>

<div class=direito>"
"<div class=afirmação>Quando <span class=""cloze"" data-cloze=""o&#x20;n&#xF3;&#x20;sinusal&#x20;falha"" data-ordinal=""1"">[...]</span>, surge <span class=""cloze-inactive"" data-ordinal=""2"">um ritmo de escape</span> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Quando <span class=""cloze"" data-ordinal=""1"">o nó sinusal falha</span>, surge <span class=""cloze-inactive"" data-ordinal=""2"">um ritmo de escape</span> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>Ritmos de escape:&nbsp;<span class=""cloze"" data-cloze=""&#x28;Idio&#x29;juncional&#x2C;&#x20;&#x28;Idio&#x29;atrial&#x20;e&#x20;&#x28;Idio&#x29;ventricular"" data-ordinal=""1"">[...]</span> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Ritmos de escape:&nbsp;<span class=""cloze"" data-ordinal=""1"">(Idio)juncional, (Idio)atrial e (Idio)ventricular</span> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>Ritmo de escape maligno é o&nbsp;<span class=""cloze"" data-cloze=""Idioventricular"" data-ordinal=""1"">[...]</span> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Ritmo de escape maligno é o&nbsp;<span class=""cloze"" data-ordinal=""1"">Idioventricular</span> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>Ritmo Idio<span class=""cloze"" data-cloze=""juncional"" data-ordinal=""1"">[...]</span><div><br /></div><div>QRS <span class=""cloze-inactive"" data-ordinal=""2"">Estreito</span></div><div>FC <span class=""cloze-inactive"" data-ordinal=""2"">40-60</span></div><div>Onda P&nbsp;<span class=""cloze-inactive"" data-ordinal=""2"">Não aparece / É retrograda (P') / Negativa em D2 / Colada ao QRS (logo antes - PR curto - ou depois - P')</span></div> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Ritmo Idio<span class=""cloze"" data-ordinal=""1"">juncional</span><div><br /></div><div>QRS <span class=""cloze-inactive"" data-ordinal=""2"">Estreito</span></div><div>FC <span class=""cloze-inactive"" data-ordinal=""2"">40-60</span></div><div>Onda P&nbsp;<span class=""cloze-inactive"" data-ordinal=""2"">Não aparece / É retrograda (P') / Negativa em D2 / Colada ao QRS (logo antes - PR curto - ou depois - P')</span></div> </div>



<div class=""esquema"">
<a class=hint href=""#""
onclick=""this.style.display='none';
document.getElementById('hint721f54bbf77b47af').style.display='block';
return false;"">
✚ Saiba mais</a>
<div id=""hint721f54bbf77b47af"" class=hint style=""display: none""><div>Aqui o ritmo está saindo do meio do coração, na junção AV. Como está a meia distância do átrio e do ventriculo, os dois se despolarizam mais ou menos ao mesmo tempo (PR curto) ou o estimulo pode demorar mais para chegar no átrio do que no ventriculo (P' - depois do QRS). Pode tambem ter despolarização simultânea atrio e ventriculo (P não aparece, escondida no QRS). A onda P é negativa porque o estimulo vem de baixo para cima.</div> </div>
</div></div>

</div><br>

<div class=direito>"
"<div class=afirmação>Ritmo Idio<span class=""cloze-inactive"" data-ordinal=""1"">juncional</span><div><br /></div><div>QRS <span class=""cloze"" data-cloze=""Estreito"" data-ordinal=""2"">[...]</span></div><div>FC <span class=""cloze"" data-cloze=""40&#x2D;60"" data-ordinal=""2"">[...]</span></div><div>Onda P&nbsp;<span class=""cloze"" data-cloze=""N&#xE3;o&#x20;aparece&#x20;&#x2F;&#x20;&#xC9;&#x20;retrograda&#x20;&#x28;P&#x27;&#x29;&#x20;&#x2F;&#x20;Negativa&#x20;em&#x20;D2&#x20;&#x2F;&#x20;Colada&#x20;ao&#x20;QRS&#x20;&#x28;logo&#x20;antes&#x20;&#x2D;&#x20;PR&#x20;curto&#x20;&#x2D;&#x20;ou&#x20;depois&#x20;&#x2D;&#x20;P&#x27;&#x29;"" data-ordinal=""2"">[...]</span></div> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Ritmo Idio<span class=""cloze-inactive"" data-ordinal=""1"">juncional</span><div><br /></div><div>QRS <span class=""cloze"" data-ordinal=""2"">Estreito</span></div><div>FC <span class=""cloze"" data-ordinal=""2"">40-60</span></div><div>Onda P&nbsp;<span class=""cloze"" data-ordinal=""2"">Não aparece / É retrograda (P') / Negativa em D2 / Colada ao QRS (logo antes - PR curto - ou depois - P')</span></div> </div>



<div class=""esquema"">
<a class=hint href=""#""
onclick=""this.style.display='none';
document.getElementById('hint721f54bbf77b47af').style.display='block';
return false;"">
✚ Saiba mais</a>
<div id=""hint721f54bbf77b47af"" class=hint style=""display: none""><div>Aqui o ritmo está saindo do meio do coração, na junção AV. Como está a meia distância do átrio e do ventriculo, os dois se despolarizam mais ou menos ao mesmo tempo (PR curto) ou o estimulo pode demorar mais para chegar no átrio do que no ventriculo (P' - depois do QRS). Pode tambem ter despolarização simultânea atrio e ventriculo (P não aparece, escondida no QRS). A onda P é negativa porque o estimulo vem de baixo para cima.</div> </div>
</div></div>

</div><br>

<div class=direito>"
"<div class=afirmação>Ritmo Idio<span class=""cloze"" data-cloze=""atrial"" data-ordinal=""1"">[...]</span><div><br /></div><div>QRS <span class=""cloze-inactive"" data-ordinal=""2"">Estreito</span></div><div>FC <span class=""cloze-inactive"" data-ordinal=""2"">40-60</span></div><div>Onda P&nbsp;<span class=""cloze-inactive"" data-ordinal=""2"">Morfologia diferente</span></div> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Ritmo Idio<span class=""cloze"" data-ordinal=""1"">atrial</span><div><br /></div><div>QRS <span class=""cloze-inactive"" data-ordinal=""2"">Estreito</span></div><div>FC <span class=""cloze-inactive"" data-ordinal=""2"">40-60</span></div><div>Onda P&nbsp;<span class=""cloze-inactive"" data-ordinal=""2"">Morfologia diferente</span></div> </div>



<div class=""esquema"">
<a class=hint href=""#""
onclick=""this.style.display='none';
document.getElementById('hint57f9a7874dae9d41').style.display='block';
return false;"">
✚ Saiba mais</a>
<div id=""hint57f9a7874dae9d41"" class=hint style=""display: none""><div>Como o escape vem do átrio, a onda P está mutante.<br></div> </div>
</div></div>

</div><br>

<div class=direito>"
"<div class=afirmação>Ritmo Idio<span class=""cloze-inactive"" data-ordinal=""1"">atrial</span><div><br /></div><div>QRS <span class=""cloze"" data-cloze=""Estreito"" data-ordinal=""2"">[...]</span></div><div>FC <span class=""cloze"" data-cloze=""40&#x2D;60"" data-ordinal=""2"">[...]</span></div><div>Onda P&nbsp;<span class=""cloze"" data-cloze=""Morfologia&#x20;diferente"" data-ordinal=""2"">[...]</span></div> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Ritmo Idio<span class=""cloze-inactive"" data-ordinal=""1"">atrial</span><div><br /></div><div>QRS <span class=""cloze"" data-ordinal=""2"">Estreito</span></div><div>FC <span class=""cloze"" data-ordinal=""2"">40-60</span></div><div>Onda P&nbsp;<span class=""cloze"" data-ordinal=""2"">Morfologia diferente</span></div> </div>



<div class=""esquema"">
<a class=hint href=""#""
onclick=""this.style.display='none';
document.getElementById('hint57f9a7874dae9d41').style.display='block';
return false;"">
✚ Saiba mais</a>
<div id=""hint57f9a7874dae9d41"" class=hint style=""display: none""><div>Como o escape vem do átrio, a onda P está mutante.<br></div> </div>
</div></div>

</div><br>

<div class=direito>"
"<div class=afirmação>Ritmo <span class=""cloze"" data-cloze=""Bradicardia&#x20;Atrial&#x20;Multifocal&#x20;&#x28;Marca&#x2D;passo&#x20;migrat&#xF3;ria&#x20;bradic&#xE1;rdico&#x29;"" data-ordinal=""1"">[...]</span><div><br></div><div>QRS <span class=""cloze-inactive"" data-ordinal=""2"">Estreito</span><br><div>FC <span class=""cloze-inactive"" data-ordinal=""2"">40-60</span></div></div><div>Onda P <span class=""cloze-inactive"" data-ordinal=""2"">com três ou mais morfologias diferentes</span></div> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Ritmo <span class=""cloze"" data-ordinal=""1"">Bradicardia Atrial Multifocal (Marca-passo migratória bradicárdico)</span><div><br></div><div>QRS <span class=""cloze-inactive"" data-ordinal=""2"">Estreito</span><br><div>FC <span class=""cloze-inactive"" data-ordinal=""2"">40-60</span></div></div><div>Onda P <span class=""cloze-inactive"" data-ordinal=""2"">com três ou mais morfologias diferentes</span></div> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>Ritmo <span class=""cloze-inactive"" data-ordinal=""1"">Bradicardia Atrial Multifocal (Marca-passo migratória bradicárdico)</span><div><br></div><div>QRS <span class=""cloze"" data-cloze=""Estreito"" data-ordinal=""2"">[...]</span><br><div>FC <span class=""cloze"" data-cloze=""40&#x2D;60"" data-ordinal=""2"">[...]</span></div></div><div>Onda P <span class=""cloze"" data-cloze=""com&#x20;tr&#xEA;s&#x20;ou&#x20;mais&#x20;morfologias&#x20;diferentes"" data-ordinal=""2"">[...]</span></div> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Ritmo <span class=""cloze-inactive"" data-ordinal=""1"">Bradicardia Atrial Multifocal (Marca-passo migratória bradicárdico)</span><div><br></div><div>QRS <span class=""cloze"" data-ordinal=""2"">Estreito</span><br><div>FC <span class=""cloze"" data-ordinal=""2"">40-60</span></div></div><div>Onda P <span class=""cloze"" data-ordinal=""2"">com três ou mais morfologias diferentes</span></div> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>Ritmo Idio<span class=""cloze"" data-cloze=""Ventricular"" data-ordinal=""1"">[...]</span><div><br /></div><div>QRS&nbsp;<span class=""cloze-inactive"" data-ordinal=""2"">Alargado</span></div><div>FC&nbsp;<span class=""cloze-inactive"" data-ordinal=""2"">&lt;40</span></div><div>Onda P&nbsp;<span class=""cloze-inactive"" data-ordinal=""2"">Com ou sem onda P</span></div> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Ritmo Idio<span class=""cloze"" data-ordinal=""1"">Ventricular</span><div><br /></div><div>QRS&nbsp;<span class=""cloze-inactive"" data-ordinal=""2"">Alargado</span></div><div>FC&nbsp;<span class=""cloze-inactive"" data-ordinal=""2"">&lt;40</span></div><div>Onda P&nbsp;<span class=""cloze-inactive"" data-ordinal=""2"">Com ou sem onda P</span></div> </div>



<div class=""esquema"">
<a class=hint href=""#""
onclick=""this.style.display='none';
document.getElementById('hint9f3f50ad2d919f4f').style.display='block';
return false;"">
✚ Saiba mais</a>
<div id=""hint9f3f50ad2d919f4f"" class=hint style=""display: none"">Maligno porque a FC é muito baixa.</div>
</div></div>

</div><br>

<div class=direito>"
"<div class=afirmação>Ritmo Idio<span class=""cloze-inactive"" data-ordinal=""1"">Ventricular</span><div><br /></div><div>QRS&nbsp;<span class=""cloze"" data-cloze=""Alargado"" data-ordinal=""2"">[...]</span></div><div>FC&nbsp;<span class=""cloze"" data-cloze=""&amp;lt&#x3B;40"" data-ordinal=""2"">[...]</span></div><div>Onda P&nbsp;<span class=""cloze"" data-cloze=""Com&#x20;ou&#x20;sem&#x20;onda&#x20;P"" data-ordinal=""2"">[...]</span></div> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Ritmo Idio<span class=""cloze-inactive"" data-ordinal=""1"">Ventricular</span><div><br /></div><div>QRS&nbsp;<span class=""cloze"" data-ordinal=""2"">Alargado</span></div><div>FC&nbsp;<span class=""cloze"" data-ordinal=""2"">&lt;40</span></div><div>Onda P&nbsp;<span class=""cloze"" data-ordinal=""2"">Com ou sem onda P</span></div> </div>



<div class=""esquema"">
<a class=hint href=""#""
onclick=""this.style.display='none';
document.getElementById('hint9f3f50ad2d919f4f').style.display='block';
return false;"">
✚ Saiba mais</a>
<div id=""hint9f3f50ad2d919f4f"" class=hint style=""display: none"">Maligno porque a FC é muito baixa.</div>
</div></div>

</div><br>

<div class=direito>"
"<div class=afirmação>Taquicardias de escape e suas causas<div><br></div><div><span class=""cloze"" data-cloze=""Ritmo&#x20;idiojuncional&#x20;&lt;i&gt;acelerado&lt;&#x2F;i&gt;"" data-ordinal=""1"">[...]</span>&nbsp;- <span class=""cloze-inactive"" data-ordinal=""2"">Intoxicação digitálica</span></div><div><div><span class=""cloze"" data-cloze=""Ritmo&#x20;idioventricular&#x20;&lt;i&gt;acelerado&lt;&#x2F;i&gt;"" data-ordinal=""1"">[...]</span><i>&nbsp;-</i> <span class=""cloze-inactive"" data-ordinal=""2"">Fase aguda do IAM</span></div></div> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Taquicardias de escape e suas causas<div><br></div><div><span class=""cloze"" data-ordinal=""1"">Ritmo idiojuncional <i>acelerado</i></span>&nbsp;- <span class=""cloze-inactive"" data-ordinal=""2"">Intoxicação digitálica</span></div><div><div><span class=""cloze"" data-ordinal=""1"">Ritmo idioventricular <i>acelerado</i></span><i>&nbsp;-</i> <span class=""cloze-inactive"" data-ordinal=""2"">Fase aguda do IAM</span></div></div> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>Ritmos de escape geralmente fazer&nbsp;<span class=""cloze"" data-cloze=""Bradi"" data-ordinal=""1"">[...]</span>cardia <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Ritmos de escape geralmente fazer&nbsp;<span class=""cloze"" data-ordinal=""1"">Bradi</span>cardia </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>Ritmos de escape geralmente são&nbsp;<span class=""cloze"" data-cloze=""ben"" data-ordinal=""1"">[...]</span>ignos <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Ritmos de escape geralmente são&nbsp;<span class=""cloze"" data-ordinal=""1"">ben</span>ignos </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação><span class=""cloze"" data-cloze=""Arritmia&#x20;Sinusal"" data-ordinal=""1"">[...]</span> ECG<div><br /></div><div><span class=""cloze-inactive"" data-ordinal=""2"">Onda P normal</div><div>QRS normal</div><div>Variabilidade P-P</div><div><i>Pode ter relação com Respiração</i></span></div> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> <span class=""cloze"" data-ordinal=""1"">Arritmia Sinusal</span> ECG<div><br /></div><div><span class=""cloze-inactive"" data-ordinal=""2"">Onda P normal</div><div>QRS normal</div><div>Variabilidade P-P</div><div><i>Pode ter relação com Respiração</i></span></div> </div>



<div class=""esquema"">
<a class=hint href=""#""
onclick=""this.style.display='none';
document.getElementById('hintfea3da8e00ffd809').style.display='block';
return false;"">
✚ Saiba mais</a>
<div id=""hintfea3da8e00ffd809"" class=hint style=""display: none"">+ em criança.</div>
</div></div>

</div><br>

<div class=direito>"
"<div class=afirmação><span class=""cloze-inactive"" data-ordinal=""1"">Arritmia Sinusal</span> ECG<div><br /></div><div><span class=""cloze"" data-cloze=""Onda&#x20;P&#x20;normal&lt;&#x2F;div&gt;&lt;div&gt;QRS&#x20;normal&lt;&#x2F;div&gt;&lt;div&gt;Variabilidade&#x20;P&#x2D;P&lt;&#x2F;div&gt;&lt;div&gt;&lt;i&gt;Pode&#x20;ter&#x20;rela&#xE7;&#xE3;o&#x20;com&#x20;Respira&#xE7;&#xE3;o&lt;&#x2F;i&gt;"" data-ordinal=""2"">[...]</span></div> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> <span class=""cloze-inactive"" data-ordinal=""1"">Arritmia Sinusal</span> ECG<div><br /></div><div><span class=""cloze"" data-ordinal=""2"">Onda P normal</div><div>QRS normal</div><div>Variabilidade P-P</div><div><i>Pode ter relação com Respiração</i></span></div> </div>



<div class=""esquema"">
<a class=hint href=""#""
onclick=""this.style.display='none';
document.getElementById('hintfea3da8e00ffd809').style.display='block';
return false;"">
✚ Saiba mais</a>
<div id=""hintfea3da8e00ffd809"" class=hint style=""display: none"">+ em criança.</div>
</div></div>

</div><br>

<div class=direito>"
"<div class=afirmação>Arritmia&nbsp;<span class=""cloze"" data-cloze=""Bloqueio&#x20;Sinoatrial&#x20;2&#xBA;&#x20;grau"" data-ordinal=""1"">[...]</span> - Como é o ECG?<div><br></div><div><span class=""cloze-inactive"" data-ordinal=""2"">Pausa sinusal</div><div>TIPO I - Wenckerbach: vai reduzindo intervalo P-P até pausa</div><div>TIPO II - Pausa abrupta sem alteração dos P-P anteriores</span></div> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Arritmia&nbsp;<span class=""cloze"" data-ordinal=""1"">Bloqueio Sinoatrial 2º grau</span> - Como é o ECG?<div><br></div><div><span class=""cloze-inactive"" data-ordinal=""2"">Pausa sinusal</div><div>TIPO I - Wenckerbach: vai reduzindo intervalo P-P até pausa</div><div>TIPO II - Pausa abrupta sem alteração dos P-P anteriores</span></div> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>Arritmia&nbsp;<span class=""cloze-inactive"" data-ordinal=""1"">Bloqueio Sinoatrial 2º grau</span> - Como é o ECG?<div><br></div><div><span class=""cloze"" data-cloze=""Pausa&#x20;sinusal&lt;&#x2F;div&gt;&lt;div&gt;TIPO&#x20;I&#x20;&#x2D;&#x20;Wenckerbach&#x3A;&#x20;vai&#x20;reduzindo&#x20;intervalo&#x20;P&#x2D;P&#x20;at&#xE9;&#x20;pausa&lt;&#x2F;div&gt;&lt;div&gt;TIPO&#x20;II&#x20;&#x2D;&#x20;Pausa&#x20;abrupta&#x20;sem&#x20;altera&#xE7;&#xE3;o&#x20;dos&#x20;P&#x2D;P&#x20;anteriores"" data-ordinal=""2"">[...]</span></div> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Arritmia&nbsp;<span class=""cloze-inactive"" data-ordinal=""1"">Bloqueio Sinoatrial 2º grau</span> - Como é o ECG?<div><br></div><div><span class=""cloze"" data-ordinal=""2"">Pausa sinusal</div><div>TIPO I - Wenckerbach: vai reduzindo intervalo P-P até pausa</div><div>TIPO II - Pausa abrupta sem alteração dos P-P anteriores</span></div> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>O bloqueio sinoatrial que pode aparecer no ECG é o BSA de <span class=""cloze"" data-cloze=""2&#xBA;&#x20;grau"" data-ordinal=""1"">[...]</span> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> O bloqueio sinoatrial que pode aparecer no ECG é o BSA de <span class=""cloze"" data-ordinal=""1"">2º grau</span> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>Bradicardia sinusal ECG<div><br></div><div><span class=""cloze"" data-cloze=""FC&#x20;&amp;lt&#x3B;&#x20;60&lt;&#x2F;div&gt;&lt;div&gt;Onda&#x20;P&#x20;positiva&#x20;em&#x20;D2&#x20;precedendo&#x20;QRS&#x20;&#x2F;&#x20;QRS&#x20;estreito"" data-ordinal=""1"">[...]</span></div> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Bradicardia sinusal ECG<div><br></div><div><span class=""cloze"" data-ordinal=""1"">FC &lt; 60</div><div>Onda P positiva em D2 precedendo QRS / QRS estreito</span></div> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>Tilt test induz&nbsp;<span class=""cloze"" data-cloze=""vagotonia&#x20;&#x28;sincope&#x29;"" data-ordinal=""1"">[...]</span> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Tilt test induz&nbsp;<span class=""cloze"" data-ordinal=""1"">vagotonia (sincope)</span> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>O reflexo de&nbsp;<span class=""cloze"" data-cloze=""Bezold&#x2D;Jarisch"" data-ordinal=""1"">[...]</span> é responsável pelas bradiarritmias pós-IAM <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> O reflexo de&nbsp;<span class=""cloze"" data-ordinal=""1"">Bezold-Jarisch</span> é responsável pelas bradiarritmias pós-IAM </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>Bradiarritmias sinusais benignas - Tratamento<div><br></div><div><span class=""cloze"" data-cloze=""Assintom&#xE1;tico&#x20;&#x3D;&#x20;n&#xE3;o&#x20;trata&lt;&#x2F;div&gt;&lt;div&gt;&lt;br&gt;&lt;&#x2F;div&gt;&lt;div&gt;Sintom&#xE1;tico&#x20;&#x3D;&amp;nbsp&#x3B;&lt;u&gt;Atropina&lt;&#x2F;u&gt;&amp;nbsp&#x3B;→&#x20;Marca&#x2D;passo&#x20;se&#x20;refrat&#xE1;rio"" data-ordinal=""1"">[...]</span></div> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Bradiarritmias sinusais benignas - Tratamento<div><br></div><div><span class=""cloze"" data-ordinal=""1"">Assintomático = não trata</div><div><br></div><div>Sintomático =&nbsp;<u>Atropina</u>&nbsp;→ Marca-passo se refratário</span></div> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>Causa mais comum de sincope em pacientes jovens é&nbsp;<span class=""cloze"" data-cloze=""S&#xED;ncope&#x20;vasovagal&#x20;&#x2F;&#x20;Neurocardiog&#xEA;nica"" data-ordinal=""1"">[...]</span> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Causa mais comum de sincope em pacientes jovens é&nbsp;<span class=""cloze"" data-ordinal=""1"">Síncope vasovagal / Neurocardiogênica</span> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>Investigação de síncope<div><br></div><div>Síncope <span class=""cloze-inactive"" data-ordinal=""2"">Vasovagal / neurocardiogênica</span> = <span class=""cloze"" data-cloze=""Tilt&#x2D;Test"" data-ordinal=""1"">[...]</span><br></div> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Investigação de síncope<div><br></div><div>Síncope <span class=""cloze-inactive"" data-ordinal=""2"">Vasovagal / neurocardiogênica</span> = <span class=""cloze"" data-ordinal=""1"">Tilt-Test</span><br></div> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>Investigação de síncope<div><br></div><div>Síncope <span class=""cloze"" data-cloze=""Vasovagal&#x20;&#x2F;&#x20;neurocardiog&#xEA;nica"" data-ordinal=""2"">[...]</span> = <span class=""cloze-inactive"" data-ordinal=""1"">Tilt-Test</span><br></div> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Investigação de síncope<div><br></div><div>Síncope <span class=""cloze"" data-ordinal=""2"">Vasovagal / neurocardiogênica</span> = <span class=""cloze-inactive"" data-ordinal=""1"">Tilt-Test</span><br></div> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação><span class=""cloze-inactive"" data-ordinal=""2"">Síncope vasovagal</span> - Profilaxia<div><br></div><div><span class=""cloze"" data-cloze=""Betabloqueador&#x20;&#x2F;&#x20;Fludrocortisona&#x20;→&#x20;Marca&#x20;passo&#x20;definitivo&#x20;dupla&#x2D;c&#xE2;mara&#x20;&#x28;DDDR&#x29;"" data-ordinal=""1"">[...]</span></div> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> <span class=""cloze-inactive"" data-ordinal=""2"">Síncope vasovagal</span> - Profilaxia<div><br></div><div><span class=""cloze"" data-ordinal=""1"">Betabloqueador / Fludrocortisona → Marca passo definitivo dupla-câmara (DDDR)</span></div> </div>



</div>

</div><br>

<div class=direito>"
